ticker,price,transaction_date,transaction_type,quantity,account_number,create_date
NUW,$1762.66,2021-03-30,buy,4221,285327866-2,2015-08-23 00:23:50
AVD,$1797.92,2021-06-14,buy,1600,273194002-6,2019-07-19 01:02:24
ALT,$385.51,2022-01-21,sell,4795,893053220-9,2016-02-19 01:21:18
CACQ,$2248.67,2021-10-15,buy,2507,495362415-7,2020-07-29 04:06:37
LGIH,$85.88,2016-02-07,buy,2334,054444351-9,2015-04-19 13:08:22
EV,$952.06,2015-01-12,sell,345,887060044-0,2022-06-21 02:58:49
VIIZ,$1074.46,2022-04-01,buy,2481,094095833-3,2021-07-10 22:25:34
AIF,$2091.09,2015-11-30,buy,1651,865526748-1,2017-07-21 23:40:55
SCSS,$1670.28,2016-06-21,sell,1520,552058004-9,2018-09-12 04:44:21
IMAX,$1358.30,2020-05-30,buy,54,883684472-3,2018-04-29 13:51:44
URI,$2371.44,2017-06-25,buy,2085,363847522-0,2021-02-27 09:01:14
ABEOW,$443.01,2018-11-18,buy,722,149240689-9,2017-10-12 13:34:51
ICHR,$2486.25,2022-01-01,buy,1234,523705041-7,2017-03-08 16:09:53
SBBC,$473.13,2017-05-22,buy,607,659232317-5,2020-05-01 13:18:42
JTD,$116.73,2015-02-26,buy,1657,387892278-7,2022-02-21 02:14:41
RDY,$184.65,2021-03-19,buy,4539,812835571-6,2021-12-23 12:39:56
VDSI,$2211.87,2018-10-19,sell,4745,351108498-9,2015-03-13 21:28:42
RCON,$817.19,2016-04-21,sell,3057,047023705-8,2018-05-22 07:37:12
GMED,$699.22,2022-03-17,sell,2530,987252525-0,2022-02-21 11:57:09
CWAY,$2435.62,2017-01-03,buy,3746,058578058-7,2016-07-10 17:32:39
MTFBW,$2439.05,2022-07-19,sell,2703,839648189-X,2022-06-09 00:33:51
UMH,$705.32,2020-07-30,buy,1438,263057799-6,2017-06-10 22:49:20
SNDX,$493.81,2021-11-20,buy,316,548933179-8,2018-05-25 00:52:53
NXJ,$315.97,2021-09-22,sell,4792,611466698-4,2019-07-05 21:56:54
ADI,$1322.56,2015-12-17,buy,1133,857266153-0,2021-08-23 20:57:47
SCD,$1779.52,2016-11-21,sell,2586,587566972-1,2017-02-12 03:12:55
SENEA,$1227.16,2020-10-16,buy,2955,591358712-X,2021-04-19 04:10:00
GNMX,$1345.33,2021-12-11,sell,4689,751900071-0,2016-12-25 04:45:19
VONG,$56.65,2017-10-22,sell,636,032733949-7,2015-02-08 20:22:38
SPXC,$730.88,2019-08-07,buy,3178,035293027-6,2021-07-07 08:03:12
KAACU,$192.31,2016-11-01,sell,2858,974906487-9,2018-05-10 05:25:13
